"Collectors of
Freshwater Fishes","List of collecting stations of Freshwater Fishes [Habitat, Locality and Geographical co-ordinates]","No. of
Species",source_page,source_file,"Order, Family, Species",Local Name,Environment,"Maximum size
(TL)",Human Use,"IUCN
Status","Barilius shacra (Hamilton, 1822)",Koksa,F,14.0 cm,Food,LC,"Pethia conchonius (Hamilton, 1822)",Kanchan Punti,"Ornamental,
Food",VU,"Anabas testudineus (Bloch, 1792)",Koi,"F, B",25.0 cm,DD,"Batasio fasciolatus Ng, 2006",Batasio,7.1 cm,Ornamental,"Gagata sexualis Tilak, 1970",Unnamed: 1,6.0 cm,Order,"Family
(No.)","Genera
(No.)","Species
(No.)"
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Schistura beavani (Günther, 1868)",Creek loach,F,8.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Schistura fasciata Lokeshwor and Vishwanath, 2011",Poia,F,6.8 cm,Ornamental,NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Schistura multifasciata (Day, 1878)",,F,9.8 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Schistura savona (Hamilton, 1822)",Khorka,F,2.4 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Schistura scaturigina McClelland, 1839",,F,10.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Schistura tirapensis Kottelat, 1990",Poia,F,5.6 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Family: Cobitidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Botia almorhae Gray, 1831",Lohachata,F,15.5 cm,Ornamental,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Botia birdi Chaudhuri, 1909",Loach,F,18.6 cm,Ornamental,NE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Botia dario (Hamilton, 1822)",Betrongi,F,15.1 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Botia lohachata Chaudhuri, 1912",Lohachata,F,11.0 cm,Ornamental,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Botia histrionic Blyth, 1860",Lohachata,F,11.7 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Botia rostrata Günther, 1868",Ladder loach,F,25.0 cm,Ornamental,VU,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Canthophrys gongota (Hamilton, 1822)",Ghor poia,F,13.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Lepidocephalichthys annandalei Chaudhuri, 1912",,F,4.3 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Lepidocephalichthys arunachalensis (Datta and
Barman, 1984)",Gutum,F,,Ornamental,EN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Lepidocephalichthys berdmorei (Blyth, 1860)",Gutum,F,8.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Lepidocephalichthys goalparensis Pillai andYazdani,
1976",,F,4.4 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Lepidocephalichthys guntea Hamilton 1822,Guntey,"F, B",15.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Lepidocephalichthys irrorata Hora, 1921",,F,34.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Lepidocephalichthys manipurensis Arunkumar, 2000",Gutum,F,56.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Pangio pangio (Hamilton, 1822)",Daria,F,6.5 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Somileptes gongota (Hamilton, 1822)",Ghor Poia,F,13.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,Family: Cyprinidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Amblypharyngodon microlepis (Bleeker, 1853)",Mourala,F,10.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Amblypharyngodon mola (Hamilton, 1822)",Mourola,F,20.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Aspidoparia jaya (Hamilton, 1822)",,F,15.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Bangana dero (Hamilton, 1822)",,F,75.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Barilius barila (Hamilton, 1822)",Boroli,F,10.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Barilius barna (Hamilton, 1822)",Ghol,F,15.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,FreshwaterfishdiversityofWestBengal_table_1.csv,"Barilius bendelisis (Hamilton, 1807)",Joia,F,22.7 cm,Food,LC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Barilius tileo (Hamilton, 1822)",Boroli,F,30.5 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Barilius vagra (Hamilton, 1822)",Boroli,F,12.8 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Cabdio morar (Hamilton, 1822)",Baspati,F,20.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Carassius auratus (Linnaeus, 1758) Exotic",,F,48.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Chela cachius (Hamilton, 1822)",,"F, B",6.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Chela laubuca (Hamilton, 1822)",Dankena,"F, B",7.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Chagunius chagunio (Hamilton, 1822)",Pithkati,F,50.0 cm,"Ornamental,
Food",DD,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Cirrhinus mrigala (Hamilton, 1822)",Mrigel,F,99.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Cirrhinus reba (Hamilton, 1822)",Bhangonbata,F,30.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Crossocheilus latius (Hamilton, 1822)",Kala Bata,"F, B",15.2 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Ctenopharyngodon idellus (Valenciennes, 1844) Exotic",Grass carp,F,150 cm,Food,NE,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Cyprinion semiplotum (McClelland, 1839)",Chepti puthi,F,60.0 cm,Food,VU,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Cyprinus carpio Linnaeus, 1758 Exotic",Common carp,"F, B",120 cm,Food,VU,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Danio dangila (Hamilton, 1822)",Darikana,F,15.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Danio rerio (Hamilton, 1822)",Techokha,F,3.8 cm,Ornamental,NT,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Danionella priapus Britz, 2009",,F,1.6 cm,Ornamental,DD,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Devario aequipinnatus (McClelland, 1839)",Chebli,F,15.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Devario assamensis (Barman, 1984)",,F,9.0 cm,Ornamental,VU,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Devario devario (Hamilton, 1822)",Techokha,F,10.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Devario regina (Fowler, 1934)","Gharbanka
chela",F,7.8 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Esomus danricus (Hamilton, 1822)",Dankya,"F, B",13.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Garra annandalei Hora, 1921",,F,23.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Garra arupi Nebeshwar, Vishwanath and Das, 2009",,F,7.2 cm,"Food,",NE,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Garra gotyla gotyla (Gray, 1830)",Klagachhi,F,18.0 cm,Food,VU,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Garra kempi Hora, 1921",Klagachhi,F,11.3 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Garra lamta (Hamilton, 1822)",Klagachhi,F,20.4 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Garra lissorhynchus (McClelland, 1842)",,F,9.1 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Garra nasuta (McClelland, 1838)",,F,20.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Garra mullya (Sykes, 1839)",Mottu,F,17.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Catla catla (Hamilton, 1822)",Catla,"F, B",182 cm,Food,NE,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Hypophthalmichthys molitrix (Valenciennes, 1844)
Exotic",Silver carp,F,105 cm,Food,NT,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Hypophthalmichthys nobilis (Richardson, 1845) Exotic",Bighead carp,F,146 cm,Food,DD,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo angra (Hamilton, 1822)",Kharsa,F,22.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo bata (Hamilton, 1822)",Bata,F,61.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo boga (Hamilton, 1822)",Bata,F,30.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo calbasu (Hamilton, 1822)",Kalbose,"F, B",90.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo dero (Hamilton, 1822)",Kursha,F,75.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo dyocheilus (McClelland, 1839)",Silghorea,F,90.0 cm,Food,VU,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo fimbriatus (Bloch, 1795)",,F,91.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo gonius (Hamilton, 1822)",Kurechi,F,150.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo nandina (Hamilton, 1822)",,F,81.2 cm,Food,NT,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo pangusia (Hamilton, 1822)",Utti,F,90.0 cm,Food,NT,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Labeo rohita (Hamilton, 1822)",Rui,F,200.0 cm,Food,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Laubuka laubuca (Hamilton, 1822)",Laubuca,"F, B",7.0 cm,Ornamental,LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Megarasbora elanga (Hamilton, 1822)",,F,21.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Neolissochilus hexagonolepis (McClelland, 1839)",Katli,F,120.0 cm,Food,NT,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Neolissochilus hexastichus (McClelland, 1839)",,F,,Ornamental,NT,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Oreichthys cosuatis (Hamilton, 1822)",Punti,F,8.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Oreichthys crenuchoides Schäfer, 2009",Punti,F,3.1 cm,"Ornamental,
Food",DD,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Osteobrama belangeri (Valenciennes, 1844)",Gilachaki,F,38.0 cm,"Ornamental,
Food",NT,,,,,,,,,,,,,,,,,,,,
