species,family,order
Psilorhynchus homaloptera,Psilorhynchidae,Cypriniformes
Psilorhynchus sucatio,Psilorhynchidae,Cypriniformes
Aplocheilus panchax,Aplocheilidae,Cyprinodontiformes
Gambusia affinis,Poeciliidae,Cyprinodontiformes
Poecilia reticulata,Poeciliidae,Cyprinodontiformes
Rhinomugil corsula,Mugilidae,Mugiliformes
Sicamugil cascasia,Mugilidae,Mugiliformes
Chitala chitala,Notopteridae,Osteoglossiformes
Notopterus notopterus,Notopteridae,Osteoglossiformes
Chanda nama,Ambassidae,Perciformes
Parambassis baculis,Ambassidae,Perciformes
Parambassis lala,Ambassidae,Perciformes
Parambassis ranga,Ambassidae,Perciformes
Anabas cobojius,Anabantidae,Perciformes
Badis andrewraoi,Badidae,Perciformes
Badis assamensis,Badidae,Perciformes
Badis autumnum,Badidae,Perciformes
Badis badis,Badidae,Perciformes
Badis kyanos,Badidae,Perciformes
Badis laspiophilus,Badidae,Perciformes
Badis soraya,Badidae,Perciformes
Badis singenensis,Badidae,Perciformes
Channa andrao,Channidae,Perciformes
Channa aurantimaculata,Channidae,Perciformes
Channa bleheri,Channidae,Perciformes
Channa gachua,Channidae,Perciformes
Channa marulius,Channidae,Perciformes
Channa orientalis,Channidae,Perciformes
Channa punctata,Channidae,Perciformes
Channa stewartii,Channidae,Perciformes
Channa striata,Channidae,Perciformes
Oreochromis mossambicus,Chichlidae,Perciformes
Oreochromis niloticus,Chichlidae,Perciformes
Datnioides polota,Datniodidae,Perciformes
Eleotris fusca,Eleotridae,Perciformes
Apocryptes bato,Gobiidae,Perciformes
Brachyamblyopus brachysoma,Gobiidae,Perciformes
Glossogobius giuris,Gobiidae,Perciformes
Odontamblyopus rubicundus,Gobiidae,Perciformes
Pseudapocryptes elongatus,Gobiidae,Perciformes
Nandus nandus,Nandidae,Perciformes
Ctenops nobilis,Osphronemidae,Perciformes
Osphronemus goramy,Osphronemidae,Perciformes
Trichogaster fasciata,Osphronemidae,Perciformes
Trichogaster chuna,Osphronemidae,Perciformes
Trichogaster lalius,Osphronemidae,Perciformes
Trichogaster labiosa,Osphronemidae,Perciformes
Amblyceps apangi,Amblycipitidae,Siluriformes
Amblyceps arunchalensis,Amblycipitidae,Siluriformes
Amblyceps cerinum,Amblycipitidae,Siluriformes
Amblyceps mangois,Amblycipitidae,Siluriformes
Amblyceps tuberculatum,Amblycipitidae,Siluriformes
Arius gagora,Arridae,Siluriformes
Batasio batasio,Bagridae,Siluriformes
Batasio merianiensis,Bagridae,Siluriformes
Batasio spilurus,Bagridae,Siluriformes
Batasio tengana,Bagridae,Siluriformes
Chandramara chandramara,Bagridae,Siluriformes
Hemibagrus menoda,Bagridae,Siluriformes
Mystus bleekeri,Bagridae,Siluriformes
Mystus carcio,Bagridae,Siluriformes
Mystus cavasius,Bagridae,Siluriformes
Mystus dibrugarensis,Bagridae,Siluriformes
Mystus gulio,Bagridae,Siluriformes
Mystus tengara,Bagridae,Siluriformes
Mystus vittatus,Bagridae,Siluriformes
Olyra longicaudata,Bagridae,Siluriformes
Rita gogra,Bagridae,Siluriformes
