epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8476395010948181,9.999999747378752e-05,0.44079309701919556,0.898804783821106,0.8068669438362122,0.7535816431045532,0.7471365332603455,0.793749988079071,0.7277936935424805
1,0.8991416096687317,9.999999747378752e-05,0.3111036717891693,0.9227272868156433,0.8712446093559265,0.7621776461601257,0.7114319801330566,0.8138801455497742,0.7392550110816956
2,0.9277539253234863,9.999999747378752e-05,0.23803219199180603,0.9469753503799438,0.907010018825531,0.7879655957221985,0.6846303939819336,0.8354430198669434,0.7564470171928406
3,0.942060112953186,9.999999747378752e-05,0.18137907981872559,0.9578402638435364,0.9263232946395874,0.7994269132614136,0.690589427947998,0.8476190567016602,0.7650429606437683
4,0.959227442741394,9.999999747378752e-05,0.15249007940292358,0.9665697813034058,0.9513590931892395,0.796561598777771,0.6700724363327026,0.8302469253540039,0.7707736492156982
5,0.9499284625053406,9.999999747378752e-05,0.1493343561887741,0.9626099467277527,0.9391988515853882,0.8080229163169861,0.6787815690040588,0.8466453552246094,0.7593123316764832
6,0.9721029996871948,9.999999747378752e-05,0.09943697601556778,0.9803636074066162,0.9642346501350403,0.8022922873497009,0.6708101034164429,0.8317757248878479,0.7650429606437683
7,0.9706723690032959,9.999999747378752e-05,0.09526462852954865,0.9782134890556335,0.9635193347930908,0.7793696522712708,0.7330867052078247,0.8073394298553467,0.7564470171928406
8,0.9763948321342468,4.999999873689376e-05,0.087617427110672,0.9818971753120422,0.9699570536613464,0.7793696522712708,0.7156609892845154,0.8179012537002563,0.7593123316764832
9,0.9763948321342468,4.999999873689376e-05,0.08137533813714981,0.981254518032074,0.9735336303710938,0.796561598777771,0.6995653510093689,0.8302469253540039,0.7707736492156982
10,0.9778254628181458,4.999999873689376e-05,0.07418785989284515,0.9826714992523193,0.9735336303710938,0.7994269132614136,0.6923022270202637,0.8359133005142212,0.7736389636993408
11,0.9806867241859436,2.499999936844688e-05,0.07216363400220871,0.9826964735984802,0.9749642610549927,0.7908309698104858,0.6937466263771057,0.8421052694320679,0.7793696522712708
